index;x;y;z
0;0.725235;0.542236;-0.489075
1;0.713486;0.496323;-0.460159
2;0.718781;0.480667;-0.462204
3;0.730453;0.500748;-0.469635
4;0.724350;0.497955;-0.455917
5;0.713333;0.497238;-0.461121
6;0.702744;0.509247;-0.466568
7;0.707016;0.508255;-0.462189
8;0.708481;0.506699;-0.466949
9;0.712402;0.510513;-0.468796
10;0.715332;0.513779;-0.465317
11;0.705627;0.510391;-0.463287
12;0.714661;0.510803;-0.463120
13;0.714294;0.516586;-0.470184
14;0.711929;0.507004;-0.467896
15;0.709869;0.502808;-0.466248
16;0.707626;0.500595;-0.469193
17;0.710022;0.501785;-0.471268
18;0.711227;0.502106;-0.477325
19;0.711960;0.496460;-0.470520
20;0.718445;0.496552;-0.469559
21;0.716415;0.493988;-0.470459
22;0.713364;0.495117;-0.472137
23;0.712418;0.495071;-0.472321
24;0.711090;0.495071;-0.467850
25;0.712677;0.496353;-0.471924
26;0.714752;0.499527;-0.477112
27;0.714890;0.502884;-0.475220
28;0.711136;0.501785;-0.472061
29;0.712067;0.498322;-0.473022
30;0.715363;0.501862;-0.475494
31;0.718796;0.500610;-0.475586
32;0.712509;0.506577;-0.475220
33;0.709061;0.502182;-0.474579
34;0.710846;0.503174;-0.474030
35;0.716400;0.500259;-0.477768
36;0.721939;0.500305;-0.479584
37;0.723053;0.501022;-0.477158
38;0.718399;0.502426;-0.479355
39;0.712189;0.498856;-0.480347
40;0.715988;0.493454;-0.483154
41;0.716034;0.490433;-0.478760
42;0.713715;0.494476;-0.479477
43;0.709442;0.494720;-0.483963
44;0.708145;0.500092;-0.485016
45;0.711197;0.498459;-0.483566
46;0.711594;0.500336;-0.487122
47;0.711655;0.501740;-0.490524
48;0.706207;0.501694;-0.490143
49;0.705292;0.501816;-0.490417
50;0.707901;0.500717;-0.489471
51;0.710495;0.499756;-0.489700
52;0.707077;0.500946;-0.489883
53;0.709869;0.504837;-0.486023
54;0.714050;0.503357;-0.480988
55;0.717850;0.496262;-0.470398
56;0.713760;0.494919;-0.470566
57;0.708054;0.501999;-0.472641
58;0.710876;0.508331;-0.480194
59;0.710846;0.512802;-0.481415
60;0.711624;0.515457;-0.480713
61;0.714752;0.514435;-0.476028
62;0.723724;0.510971;-0.469757
63;0.725967;0.501724;-0.477814
64;0.722198;0.506866;-0.484222
65;0.719452;0.506363;-0.479980
66;0.714996;0.506516;-0.481232
67;0.714386;0.502930;-0.492111
68;0.712952;0.496872;-0.501968
69;0.703827;0.493118;-0.493347
70;0.694153;0.486618;-0.489517
71;0.698303;0.486908;-0.496674
72;0.708160;0.482880;-0.497711
73;0.714828;0.481674;-0.496170
74;0.717957;0.488205;-0.495193
75;0.714005;0.485718;-0.494583
76;0.706955;0.486191;-0.493423
77;0.706650;0.487640;-0.492889
78;0.706512;0.489807;-0.495972
79;0.712006;0.490936;-0.501083
80;0.712860;0.490097;-0.500320
81;0.707428;0.492661;-0.499069
82;0.708069;0.492249;-0.497467
83;0.708878;0.490036;-0.491882
84;0.712189;0.489243;-0.485779
85;0.711594;0.495636;-0.474792
86;0.719757;0.506393;-0.456589
87;0.714645;0.506775;-0.446335
88;0.720459;0.514740;-0.440247
89;0.730743;0.530029;-0.433441
90;0.737106;0.548203;-0.421326
91;0.728363;0.545822;-0.410828
92;0.717377;0.556107;-0.420364
93;0.719040;0.579361;-0.437927
94;0.740112;0.593307;-0.453659
95;0.737427;0.561218;-0.460358
96;0.705444;0.526215;-0.452209
97;0.665253;0.499207;-0.444412
98;0.647827;0.475311;-0.461136
99;0.690414;0.492996;-0.494339
100;0.716339;0.511612;-0.559357
101;0.745377;0.493500;-0.566818
